"Date","Code","Name","Open","High","Low","Close","Volume"
"2019-12-23","601038.ss","一拖股份","7.05","7.75","7.04","7.46","49829118"
"2019-12-20","601038.ss","一拖股份","6.78","7.47","6.72","7.35","38949237"
"2019-12-19","601038.ss","一拖股份","6.8","6.92","6.68","6.79","18280290"
"2019-12-18","601038.ss","一拖股份","6.56","6.97","6.56","6.77","32094851"
"2019-12-17","601038.ss","一拖股份","6.24","6.78","6.18","6.65","29053884"
"2019-12-16","601038.ss","一拖股份","6.2","6.3","6.15","6.29","11794769"
"2019-12-13","601038.ss","一拖股份","6.18","6.45","6.13","6.27","15483135"
"2019-12-12","601038.ss","一拖股份","6.13","6.19","6.11","6.15","6712964"
"2019-12-11","601038.ss","一拖股份","6.25","6.25","6.1","6.15","9191740"
"2019-12-10","601038.ss","一拖股份","6.18","6.34","6.16","6.26","9638419"
"2019-12-09","601038.ss","一拖股份","6.16","6.26","6.1","6.2","10301137"
"2019-12-06","601038.ss","一拖股份","6.05","6.24","6.02","6.19","11275583"
"2019-12-05","601038.ss","一拖股份","5.98","6.05","5.98","6.04","6342971"
"2019-12-04","601038.ss","一拖股份","5.88","6.05","5.83","6.02","7327159"
"2019-12-03","601038.ss","一拖股份","5.9","5.92","5.82","5.92","5169495"
"2019-12-02","601038.ss","一拖股份","5.91","5.95","5.88","5.92","4719295"
"2019-11-29","601038.ss","一拖股份","6.07","6.09","5.83","5.9","9954800"
"2019-11-28","601038.ss","一拖股份","6.1","6.15","6.02","6.05","10805323"
"2019-11-27","601038.ss","一拖股份","6.25","6.48","6.13","6.16","17326490"
"2019-11-26","601038.ss","一拖股份","5.95","6.33","5.91","6.14","16560300"
"2019-11-25","601038.ss","一拖股份","5.97","5.98","5.82","5.92","5269493"
"2019-11-22","601038.ss","一拖股份","6.05","6.08","5.95","5.96","6981946"
"2019-11-21","601038.ss","一拖股份","6.1","6.12","5.98","6.06","10039474"
"2019-11-20","601038.ss","一拖股份","5.97","6.35","5.96","6.19","13612109"
"2019-11-19","601038.ss","一拖股份","5.9","5.99","5.84","5.99","6547066"
"2019-11-18","601038.ss","一拖股份","5.8","5.92","5.72","5.88","5172593"
"2019-11-15","601038.ss","一拖股份","5.84","5.94","5.78","5.81","6351609"
"2019-11-14","601038.ss","一拖股份","5.8","5.87","5.75","5.82","5718100"
"2019-11-13","601038.ss","一拖股份","5.8","5.88","5.73","5.79","5021200"
"2019-11-12","601038.ss","一拖股份","5.73","5.82","5.62","5.81","7257712"
"2019-11-11","601038.ss","一拖股份","6.04","6.04","5.7","5.71","10901097"
"2019-11-08","601038.ss","一拖股份","6.15","6.17","6.05","6.05","7541835"
"2019-11-07","601038.ss","一拖股份","6.05","6.17","6.03","6.17","5320632"
"2019-11-06","601038.ss","一拖股份","6.16","6.16","6.03","6.05","5393892"
"2019-11-05","601038.ss","一拖股份","6.12","6.19","6.02","6.17","7507871"
"2019-11-04","601038.ss","一拖股份","6.21","6.25","6.05","6.11","7060744"
"2019-11-01","601038.ss","一拖股份","6.14","6.2","6.03","6.2","6479810"
"2019-10-31","601038.ss","一拖股份","6.24","6.3","6.13","6.14","5543020"
"2019-10-30","601038.ss","一拖股份","6.4","6.4","6.17","6.22","6923100"
"2019-10-29","601038.ss","一拖股份","6.55","6.56","6.36","6.4","8355157"
"2019-10-28","601038.ss","一拖股份","6.52","6.58","6.42","6.53","7058218"
"2019-10-25","601038.ss","一拖股份","6.34","6.44","6.31","6.42","7114476"
"2019-10-24","601038.ss","一拖股份","6.48","6.48","6.3","6.33","8049315"
"2019-10-23","601038.ss","一拖股份","6.46","6.7","6.37","6.53","11089403"
"2019-10-22","601038.ss","一拖股份","6.35","6.47","6.32","6.44","6531487"
"2019-10-21","601038.ss","一拖股份","6.45","6.45","6.23","6.34","8168394"
"2019-10-18","601038.ss","一拖股份","6.64","6.67","6.33","6.45","9525438"
"2019-10-17","601038.ss","一拖股份","6.57","6.66","6.51","6.63","6493621"
"2019-10-16","601038.ss","一拖股份","6.75","6.8","6.57","6.57","9520848"
"2019-10-15","601038.ss","一拖股份","6.94","6.94","6.65","6.74","8402307"
"2019-10-14","601038.ss","一拖股份","6.91","7.01","6.83","6.92","9926669"
"2019-10-11","601038.ss","一拖股份","6.87","6.88","6.73","6.82","8192271"
"2019-10-10","601038.ss","一拖股份","6.85","6.91","6.76","6.88","9517841"
"2019-10-09","601038.ss","一拖股份","6.61","6.98","6.58","6.92","15685992"
"2019-10-08","601038.ss","一拖股份","6.63","6.72","6.55","6.62","8093023"
"2019-09-30","601038.ss","一拖股份","6.72","6.77","6.55","6.55","8781649"
"2019-09-27","601038.ss","一拖股份","6.67","6.83","6.61","6.74","10730530"
"2019-09-26","601038.ss","一拖股份","7.21","7.26","6.68","6.68","18094665"
"2019-09-25","601038.ss","一拖股份","7.54","7.57","7.08","7.13","21667513"
"2019-09-24","601038.ss","一拖股份","7.72","7.77","7.57","7.62","14278321"
"2019-09-23","601038.ss","一拖股份","7.71","7.75","7.53","7.72","16285740"
"2019-09-20","601038.ss","一拖股份","7.98","7.99","7.67","7.75","22169701"
"2019-09-19","601038.ss","一拖股份","7.94","8.06","7.8","7.97","19203479"
"2019-09-18","601038.ss","一拖股份","8.12","8.22","7.84","7.94","25699065"
"2019-09-17","601038.ss","一拖股份","8.32","8.38","7.96","8.05","37239910"
"2019-09-16","601038.ss","一拖股份","8.14","8.95","7.93","8.51","75643126"
"2019-09-12","601038.ss","一拖股份","7.45","8.14","7.41","8.14","44046322"
"2019-09-11","601038.ss","一拖股份","7.56","7.63","7.36","7.4","18955751"
"2019-09-10","601038.ss","一拖股份","7.58","7.62","7.45","7.55","19253072"
"2019-09-09","601038.ss","一拖股份","7.52","7.68","7.5","7.63","30156136"
"2019-09-06","601038.ss","一拖股份","7.34","7.63","7.3","7.6","36929894"
"2019-09-05","601038.ss","一拖股份","7.34","7.5","7.26","7.34","34359038"
"2019-09-04","601038.ss","一拖股份","7.05","7.58","6.97","7.39","39161578"
"2019-09-03","601038.ss","一拖股份","6.99","7.19","6.97","7.06","18085213"
"2019-09-02","601038.ss","一拖股份","6.72","7.05","6.7","7.02","15902430"
"2019-08-30","601038.ss","一拖股份","7.2","7.26","6.79","6.84","20540572"
"2019-08-29","601038.ss","一拖股份","7.2","7.21","7.03","7.05","17983741"
"2019-08-28","601038.ss","一拖股份","7.22","7.33","7.13","7.22","19910823"
"2019-08-27","601038.ss","一拖股份","7.0","7.35","7.0","7.28","32537291"
"2019-08-26","601038.ss","一拖股份","6.68","7.25","6.64","7.01","25277694"
"2019-08-23","601038.ss","一拖股份","7.02","7.03","6.88","6.91","14854004"
"2019-08-22","601038.ss","一拖股份","7.02","7.03","6.87","7.0","18191612"
"2019-08-21","601038.ss","一拖股份","6.96","7.07","6.82","7.02","24731027"
"2019-08-20","601038.ss","一拖股份","7.05","7.1","6.86","6.92","19066756"
"2019-08-19","601038.ss","一拖股份","6.78","7.02","6.78","7.0","20327238"
"2019-08-16","601038.ss","一拖股份","6.84","6.95","6.74","6.77","17037945"
"2019-08-15","601038.ss","一拖股份","6.73","6.9","6.51","6.88","21663778"
"2019-08-14","601038.ss","一拖股份","7.14","7.21","6.83","6.91","20817570"
"2019-08-13","601038.ss","一拖股份","6.95","7.22","6.94","7.02","19851998"
"2019-08-12","601038.ss","一拖股份","6.77","7.07","6.74","7.03","20969466"
"2019-08-09","601038.ss","一拖股份","6.91","7.22","6.84","6.84","24229293"
"2019-08-08","601038.ss","一拖股份","6.81","6.9","6.74","6.88","16463600"
"2019-08-07","601038.ss","一拖股份","6.96","7.02","6.72","6.81","27251564"
"2019-08-06","601038.ss","一拖股份","7.53","7.54","7.06","7.06","38481978"
"2019-08-05","601038.ss","一拖股份","7.87","8.15","7.74","7.84","37284836"
"2019-08-02","601038.ss","一拖股份","7.44","8.05","7.39","7.93","48789914"
"2019-08-01","601038.ss","一拖股份","7.37","7.58","7.23","7.57","22386577"
"2019-07-31","601038.ss","一拖股份","7.64","7.84","7.5","7.54","22984133"
"2019-07-30","601038.ss","一拖股份","7.5","7.77","7.5","7.64","25894281"
"2019-07-29","601038.ss","一拖股份","7.62","7.65","7.41","7.44","16409704"
"2019-07-26","601038.ss","一拖股份","7.62","7.69","7.56","7.62","14034542"
"2019-07-25","601038.ss","一拖股份","7.77","7.8","7.55","7.69","21514259"
"2019-07-24","601038.ss","一拖股份","7.9","7.95","7.66","7.8","30565302"
"2019-07-23","601038.ss","一拖股份","7.42","7.85","7.41","7.8","31893360"
"2019-07-22","601038.ss","一拖股份","7.75","7.89","7.31","7.4","28073821"
"2019-07-19","601038.ss","一拖股份","7.49","7.94","7.48","7.66","29833172"
"2019-07-18","601038.ss","一拖股份","7.7","7.83","7.51","7.54","21133621"
"2019-07-17","601038.ss","一拖股份","7.8","7.89","7.61","7.7","22194018"
"2019-07-16","601038.ss","一拖股份","7.82","7.95","7.66","7.74","20633245"
"2019-07-15","601038.ss","一拖股份","7.62","7.96","7.5","7.82","26213308"
"2019-07-12","601038.ss","一拖股份","8.05","8.09","7.63","7.69","32957990"
"2019-07-11","601038.ss","一拖股份","7.99","8.16","7.77","8.16","43856962"
