"Date","Code","Name","Open","High","Low","Close","Volume"
"2019-12-23","601318.ss","中国平安","85.95","85.97","84.25","84.29","45718175"
"2019-12-20","601318.ss","中国平安","85.77","86.31","85.5","85.53","35830917"
"2019-12-19","601318.ss","中国平安","86.12","86.18","85.28","85.7","33082215"
"2019-12-18","601318.ss","中国平安","86.09","86.45","85.81","85.98","45375271"
"2019-12-17","601318.ss","中国平安","85.68","86.84","85.25","86.13","75824561"
"2019-12-16","601318.ss","中国平安","85.6","85.85","84.9","85.64","77967327"
"2019-12-13","601318.ss","中国平安","85.18","86.77","85.08","86.77","77473290"
"2019-12-12","601318.ss","中国平安","84.43","84.64","84.0","84.04","36646647"
"2019-12-11","601318.ss","中国平安","83.8","84.19","83.4","84.04","36793322"
"2019-12-10","601318.ss","中国平安","83.51","83.88","83.3","83.59","29554057"
"2019-12-09","601318.ss","中国平安","84.76","84.89","83.34","83.65","46046040"
"2019-12-06","601318.ss","中国平安","84.9","84.95","84.33","84.74","27211003"
"2019-12-05","601318.ss","中国平安","84.51","85.0","84.08","84.67","34253468"
"2019-12-04","601318.ss","中国平安","83.6","84.13","83.37","84.07","26202447"
"2019-12-03","601318.ss","中国平安","83.18","84.28","82.79","84.27","39427024"
"2019-12-02","601318.ss","中国平安","83.69","83.98","83.01","83.29","38600756"
"2019-11-29","601318.ss","中国平安","84.39","84.74","82.69","83.62","57094415"
"2019-11-28","601318.ss","中国平安","85.0","85.16","84.23","84.4","35809513"
"2019-11-27","601318.ss","中国平安","85.36","85.36","84.5","84.91","39425692"
"2019-11-26","601318.ss","中国平安","86.0","86.02","84.97","85.4","50928255"
"2019-11-25","601318.ss","中国平安","85.1","85.57","84.28","85.5","54652722"
"2019-11-22","601318.ss","中国平安","86.42","86.95","84.68","84.89","74746383"
"2019-11-21","601318.ss","中国平安","87.72","87.75","86.01","86.34","75738164"
"2019-11-20","601318.ss","中国平安","88.58","88.8","87.93","88.05","33229090"
"2019-11-19","601318.ss","中国平安","88.3","89.1","88.22","88.89","30202126"
"2019-11-18","601318.ss","中国平安","87.88","88.98","87.68","88.71","34481063"
"2019-11-15","601318.ss","中国平安","87.81","88.25","87.7","87.9","36402686"
"2019-11-14","601318.ss","中国平安","88.48","88.49","87.8","88.03","32350997"
"2019-11-13","601318.ss","中国平安","87.97","88.34","87.53","88.0","38087162"
"2019-11-12","601318.ss","中国平安","88.39","88.55","87.85","88.22","39545362"
"2019-11-11","601318.ss","中国平安","88.5","88.59","87.9","88.21","44256217"
"2019-11-08","601318.ss","中国平安","90.49","90.55","89.17","89.17","43627487"
"2019-11-07","601318.ss","中国平安","90.0","90.1","89.28","89.77","31983102"
"2019-11-06","601318.ss","中国平安","90.04","90.4","89.67","90.0","38630541"
"2019-11-05","601318.ss","中国平安","90.3","91.26","89.66","90.06","65484954"
"2019-11-04","601318.ss","中国平安","90.35","90.64","89.91","90.29","50570567"
"2019-11-01","601318.ss","中国平安","88.12","90.06","88.01","90.04","65094033"
"2019-10-31","601318.ss","中国平安","87.8","88.71","87.8","88.12","37368766"
"2019-10-30","601318.ss","中国平安","88.0","88.37","87.67","87.95","43651663"
"2019-10-29","601318.ss","中国平安","88.67","89.04","87.96","88.2","43155769"
"2019-10-28","601318.ss","中国平安","88.39","88.87","87.87","88.64","65103168"
"2019-10-25","601318.ss","中国平安","88.0","88.47","87.1","88.0","112919539"
"2019-10-24","601318.ss","中国平安","89.85","90.04","88.95","89.8","36053744"
"2019-10-23","601318.ss","中国平安","90.2","90.63","89.21","89.5","31879766"
"2019-10-22","601318.ss","中国平安","90.79","90.79","89.58","90.29","31078867"
"2019-10-21","601318.ss","中国平安","89.47","90.45","88.93","90.07","36089979"
"2019-10-18","601318.ss","中国平安","92.3","92.45","89.68","89.75","59091288"
"2019-10-17","601318.ss","中国平安","91.2","92.17","90.6","91.72","61942504"
"2019-10-16","601318.ss","中国平安","90.7","91.82","90.48","90.58","49907711"
"2019-10-15","601318.ss","中国平安","90.8","90.8","89.94","90.2","35087394"
"2019-10-14","601318.ss","中国平安","90.8","91.45","90.18","90.45","63044309"
"2019-10-11","601318.ss","中国平安","88.89","90.27","88.5","89.9","60047559"
"2019-10-10","601318.ss","中国平安","88.19","88.65","87.51","88.5","34092732"
"2019-10-09","601318.ss","中国平安","87.44","88.6","87.33","88.18","36058049"
"2019-10-08","601318.ss","中国平安","87.14","88.72","87.1","88.0","40531309"
"2019-09-30","601318.ss","中国平安","87.94","88.19","87.01","87.04","46078453"
"2019-09-27","601318.ss","中国平安","88.53","88.68","87.88","88.3","32955411"
"2019-09-26","601318.ss","中国平安","89.2","89.77","88.33","88.35","48637079"
"2019-09-25","601318.ss","中国平安","88.39","89.17","88.15","88.78","38858400"
"2019-09-24","601318.ss","中国平安","89.0","89.41","88.4","88.95","40535098"
"2019-09-23","601318.ss","中国平安","89.44","89.44","88.15","88.91","51366718"
"2019-09-20","601318.ss","中国平安","89.89","90.29","89.45","89.85","45692318"
"2019-09-19","601318.ss","中国平安","90.5","90.62","89.01","89.6","42158001"
